Timestamp,Heart Rate(bpm)
Oct 1 2025 21:21:7.482,67
Oct 1 2025 21:21:8.424,70
Oct 1 2025 21:21:9.411,72
Oct 1 2025 21:21:10.353,72
Oct 1 2025 21:21:12.372,72
Oct 1 2025 21:21:14.211,72
Oct 1 2025 21:21:16.94,72
Oct 1 2025 21:21:42.41,67
Oct 1 2025 21:21:42.981,69
Oct 1 2025 21:21:43.877,70
Oct 1 2025 21:21:44.818,72
Oct 1 2025 21:21:45.758,73
Oct 1 2025 21:21:47.639,75
Oct 1 2025 21:21:49.610,76
Oct 1 2025 21:21:51.535,77
Oct 1 2025 21:21:54.489,77
Oct 1 2025 21:22:2.233,82
Oct 1 2025 21:22:6.38,78
Oct 1 2025 21:22:6.978,80
Oct 1 2025 21:22:15.524,80
Oct 1 2025 21:22:16.509,79
Oct 1 2025 21:22:18.522,79
Oct 1 2025 21:22:19.373,80
Oct 1 2025 21:22:20.312,80
Oct 1 2025 21:22:21.254,80
Oct 1 2025 21:22:22.190,81
Oct 1 2025 21:22:30.19,82
Oct 1 2025 21:22:30.958,81
Oct 1 2025 21:22:40.393,77
Oct 1 2025 21:22:44.238,77
Oct 1 2025 21:22:46.208,74
Oct 1 2025 21:22:47.100,72
Oct 1 2025 21:22:48.38,72
Oct 1 2025 21:22:49.66,71
Oct 1 2025 21:22:51.838,71
Oct 1 2025 21:22:55.592,71
Oct 1 2025 21:22:57.559,69
Oct 1 2025 21:22:58.542,68
Oct 1 2025 21:22:59.526,68
Oct 1 2025 21:23:1.536,68
Oct 1 2025 21:23:3.547,68
Oct 1 2025 21:23:6.318,68
Oct 1 2025 21:23:7.256,68
Oct 1 2025 21:23:8.195,68
Oct 1 2025 21:23:10.27,68
Oct 1 2025 21:23:21.465,71
Oct 1 2025 21:23:22.403,72
Oct 1 2025 21:23:24.282,74
Oct 1 2025 21:23:26.203,75
Oct 1 2025 21:23:28.124,76
Oct 1 2025 21:23:30.44,77
Oct 1 2025 21:23:31.965,79
Oct 1 2025 21:23:33.928,81
Oct 1 2025 21:25:45.382,83
Oct 1 2025 21:25:46.404,82
Oct 1 2025 21:25:49.217,78
Oct 1 2025 21:25:50.106,76
Oct 1 2025 21:25:51.86,74
Oct 1 2025 21:25:57.778,73
Oct 1 2025 21:25:58.756,73
Oct 1 2025 21:26:10.348,73
Oct 1 2025 21:26:12.220,73
Oct 1 2025 21:26:13.294,71
Oct 1 2025 21:26:14.95,71
Oct 1 2025 21:26:16.143,70
Oct 1 2025 21:26:55.98,73
Oct 1 2025 21:26:57.103,73
Oct 1 2025 21:27:0.846,73
Oct 1 2025 21:27:1.738,75
Oct 1 2025 21:27:7.445,72
Oct 1 2025 21:27:21.922,71
Oct 1 2025 21:27:23.882,71
Oct 1 2025 21:27:24.907,73
Oct 1 2025 21:27:26.911,73
Oct 1 2025 21:27:27.757,74
Oct 1 2025 21:27:29.718,76
Oct 1 2025 21:27:31.678,76
Oct 1 2025 21:27:32.658,76
Oct 1 2025 21:27:33.638,75
Oct 1 2025 21:27:35.598,75
Oct 1 2025 21:27:36.578,72
Oct 1 2025 21:31:5.933,91
Oct 1 2025 21:31:6.913,93
Oct 1 2025 21:31:7.896,94
Oct 1 2025 21:31:50.696,68
Oct 1 2025 21:31:51.676,68
Oct 1 2025 21:31:52.656,62
Oct 1 2025 21:31:53.636,62
Oct 1 2025 21:31:54.616,62
Oct 1 2025 21:31:59.426,58
Oct 1 2025 21:32:1.208,58
Oct 1 2025 21:32:3.212,56
Oct 1 2025 21:32:4.994,56
Oct 1 2025 21:32:6.910,56
Oct 1 2025 21:32:7.803,56
Oct 1 2025 21:32:9.849,56
Oct 1 2025 21:32:11.631,56
Oct 1 2025 21:32:12.611,56
