Timestamp,Heart Rate(bpm)
Mar 19 2025 13:31:12.777,72
Mar 19 2025 13:31:13.762,70
Mar 19 2025 13:31:35.931,73
Mar 19 2025 13:32:41.179,99
Mar 19 2025 13:32:43.190,99
Mar 19 2025 13:32:44.131,101
Mar 19 2025 13:32:53.714,99
Mar 19 2025 13:32:55.596,99
Mar 19 2025 13:32:57.607,99
Mar 19 2025 13:32:58.377,98
Mar 19 2025 13:32:59.361,98
Mar 19 2025 13:33:0.259,98
Mar 19 2025 13:33:46.201,103
Mar 19 2025 13:33:47.185,103
Mar 19 2025 13:34:0.615,103
Mar 19 2025 13:34:2.583,103
Mar 19 2025 13:34:3.610,104
Mar 19 2025 13:34:4.508,104
Mar 19 2025 13:34:7.459,105
Mar 19 2025 13:36:28.187,97
Mar 19 2025 13:37:11.301,96
Mar 19 2025 13:37:25.971,59
Mar 19 2025 13:37:28.879,58
Mar 19 2025 13:37:30.847,58
Mar 19 2025 13:37:31.830,57
Mar 19 2025 13:37:32.814,57
Mar 19 2025 13:37:33.755,57
Mar 19 2025 13:37:34.739,57
Mar 19 2025 13:37:36.707,57
Mar 19 2025 13:37:37.690,57
Mar 19 2025 13:37:39.658,57
Mar 19 2025 13:37:41.582,57
Mar 19 2025 13:37:43.593,57
Mar 19 2025 13:37:45.517,57
Mar 19 2025 13:37:46.544,57
Mar 19 2025 13:37:48.554,57
Mar 19 2025 13:37:49.324,57
Mar 19 2025 13:37:53.219,57
Mar 19 2025 13:37:54.200,57
Mar 19 2025 13:37:56.124,57
Mar 19 2025 13:37:57.151,57
Mar 19 2025 13:37:58.49,57
Mar 19 2025 13:38:0.59,57
Mar 19 2025 13:38:1.941,57
Mar 19 2025 13:38:2.839,57
Mar 19 2025 13:38:5.747,57
Mar 19 2025 13:38:7.757,57
Mar 19 2025 13:38:8.570,57
Mar 19 2025 13:38:9.596,57
Mar 19 2025 13:38:10.497,57
Mar 19 2025 13:38:14.343,58
Mar 19 2025 13:38:16.353,58
Mar 19 2025 13:38:18.192,58
Mar 19 2025 13:38:19.47,58
Mar 19 2025 13:38:20.929,58
Mar 19 2025 13:38:22.939,58
Mar 19 2025 13:38:27.729,60
Mar 19 2025 13:38:28.713,61
Mar 19 2025 13:38:30.637,62
Mar 19 2025 13:38:34.489,61
Mar 19 2025 13:38:35.470,59
Mar 19 2025 13:38:36.368,59
Mar 19 2025 13:38:41.201,58
Mar 19 2025 13:38:46.33,58
Mar 19 2025 13:38:48.813,58
Mar 19 2025 13:38:49.797,58
Mar 19 2025 13:38:50.738,56
Mar 19 2025 13:38:52.747,56
Mar 19 2025 13:38:54.757,56
Mar 19 2025 13:38:56.767,56
Mar 19 2025 13:38:58.777,56
Mar 19 2025 13:39:0.316,56
Mar 19 2025 13:39:1.257,56
Mar 19 2025 13:39:3.266,56
Mar 19 2025 13:39:5.276,56
Mar 19 2025 13:39:7.30,56
Mar 19 2025 13:39:9.39,56
Mar 19 2025 13:39:12.805,56
Mar 19 2025 13:39:13.701,56
Mar 19 2025 13:39:14.770,56
Mar 19 2025 13:39:15.582,56
Mar 19 2025 13:39:16.523,56
Mar 19 2025 13:39:18.533,56
Mar 19 2025 13:39:19.431,56
Mar 19 2025 13:39:21.443,56
Mar 19 2025 13:39:23.451,56
Mar 19 2025 13:39:24.135,56
Mar 19 2025 13:39:26.60,56
Mar 19 2025 13:39:27.86,56
Mar 19 2025 13:39:27.941,56
Mar 19 2025 13:39:28.925,56
Mar 19 2025 13:39:31.790,56
Mar 19 2025 13:39:32.731,56
Mar 19 2025 13:39:33.715,56
Mar 19 2025 13:39:35.725,56
Mar 19 2025 13:39:36.708,56
Mar 19 2025 13:39:40.557,56
Mar 19 2025 13:39:42.524,56
Mar 19 2025 13:39:43.507,56
Mar 19 2025 13:39:44.490,56
Mar 19 2025 13:39:45.474,56
Mar 19 2025 13:39:46.457,56
Mar 19 2025 13:39:47.441,56
Mar 19 2025 13:39:49.408,56
Mar 19 2025 13:39:51.374,56
Mar 19 2025 13:39:52.401,56
Mar 19 2025 13:39:54.282,56
Mar 19 2025 13:39:55.309,58
Mar 19 2025 13:39:57.318,58
Mar 19 2025 13:39:58.173,58
Mar 19 2025 13:39:59.157,59
Mar 19 2025 13:40:1.166,59
Mar 19 2025 13:40:4.74,60
Mar 19 2025 13:40:6.84,60
Mar 19 2025 13:40:8.94,60
Mar 19 2025 13:40:8.991,59
Mar 19 2025 13:40:14.806,58
Mar 19 2025 13:40:16.816,58
Mar 19 2025 13:40:20.664,57
Mar 19 2025 13:40:22.632,57
Mar 19 2025 13:40:23.615,57
Mar 19 2025 13:40:24.599,57
Mar 19 2025 13:40:25.582,57
Mar 19 2025 13:40:27.592,57
Mar 19 2025 13:40:29.516,55
Mar 19 2025 13:40:30.371,55
Mar 19 2025 13:40:31.355,55
Mar 19 2025 13:40:32.338,55
Mar 19 2025 13:40:34.348,55
Mar 19 2025 13:40:35.160,54
Mar 19 2025 13:40:36.187,54
Mar 19 2025 13:40:37.44,54
Mar 19 2025 13:40:38.26,54
Mar 19 2025 13:40:39.9,54
Mar 19 2025 13:40:39.907,54
Mar 19 2025 13:40:41.916,54
