Timestamp,Heart Rate(bpm)
Aug 14 2025 12:50:45.826,84
Aug 14 2025 12:51:17.975,88
Aug 14 2025 12:51:49.931,77
Aug 14 2025 12:51:51.847,67
Aug 14 2025 12:51:56.678,67
Aug 14 2025 12:51:57.678,63
Aug 14 2025 12:51:58.677,63
Aug 14 2025 12:51:59.677,63
Aug 14 2025 12:52:0.676,63
Aug 14 2025 12:52:1.634,63
Aug 14 2025 12:52:5.465,63
Aug 14 2025 12:52:8.379,65
Aug 14 2025 12:52:9.338,65
Aug 14 2025 12:52:11.336,65
Aug 14 2025 12:52:12.210,65
Aug 14 2025 12:52:13.168,65
Aug 14 2025 12:52:15.125,65
Aug 14 2025 12:52:16.82,65
Aug 14 2025 12:52:18.81,65
Aug 14 2025 12:52:18.997,65
Aug 14 2025 12:52:19.996,65
Aug 14 2025 12:52:20.954,65
Aug 14 2025 12:52:21.911,65
Aug 14 2025 12:52:23.910,65
Aug 14 2025 12:52:24.867,64
Aug 14 2025 12:52:26.907,64
Aug 14 2025 12:52:27.906,63
Aug 14 2025 12:52:29.945,63
Aug 14 2025 12:52:30.864,63
Aug 14 2025 12:52:31.860,63
Aug 14 2025 12:52:33.820,63
Aug 14 2025 12:52:34.816,63
Aug 14 2025 12:52:35.815,63
Aug 14 2025 12:52:37.813,63
Aug 14 2025 12:52:38.729,62
Aug 14 2025 12:52:40.685,62
Aug 14 2025 12:52:42.641,62
Aug 14 2025 12:52:43.640,62
Aug 14 2025 12:53:21.510,67
Aug 14 2025 12:53:22.509,67
Aug 14 2025 12:53:23.507,67
Aug 14 2025 12:53:24.505,67
Aug 14 2025 12:53:26.503,67
Aug 14 2025 12:53:28.500,67
Aug 14 2025 12:53:30.497,67
Aug 14 2025 12:53:31.496,67
Aug 14 2025 12:53:35.449,67
Aug 14 2025 12:53:37.446,67
Aug 14 2025 12:53:38.403,67
Aug 14 2025 12:53:42.397,67
Aug 14 2025 12:53:43.395,67
Aug 14 2025 12:53:45.392,67
Aug 14 2025 12:53:47.389,68
Aug 14 2025 12:53:49.386,68
Aug 14 2025 12:53:50.343,68
Aug 14 2025 12:53:52.339,68
Aug 14 2025 12:53:53.338,68
Aug 14 2025 12:53:54.336,68
Aug 14 2025 12:53:56.333,68
Aug 14 2025 12:53:57.331,67
Aug 14 2025 12:53:58.330,67
Aug 14 2025 12:54:1.283,66
Aug 14 2025 12:54:7.274,65
Aug 14 2025 12:54:9.270,65
Aug 14 2025 12:54:10.269,65
Aug 14 2025 12:54:12.265,65
Aug 14 2025 12:54:13.263,65
Aug 14 2025 12:54:15.260,65
Aug 14 2025 12:54:17.256,65
Aug 14 2025 12:54:19.253,65
Aug 14 2025 12:54:21.249,65
Aug 14 2025 12:54:22.206,65
Aug 14 2025 12:54:23.204,65
Aug 14 2025 12:54:24.203,66
Aug 14 2025 12:54:26.199,68
Aug 14 2025 12:54:27.156,68
Aug 14 2025 12:54:29.152,68
Aug 14 2025 12:54:33.62,69
Aug 14 2025 12:54:38.53,69
Aug 14 2025 12:54:41.48,69
Aug 14 2025 12:54:48.35,69
Aug 14 2025 12:54:50.31,69
Aug 14 2025 12:54:52.27,69
Aug 14 2025 12:54:54.23,69
Aug 14 2025 12:54:56.19,69
Aug 14 2025 12:55:24.422,70
Aug 14 2025 12:55:26.418,70
Aug 14 2025 12:55:27.418,75
Aug 14 2025 12:55:30.326,75
Aug 14 2025 12:55:32.322,75
Aug 14 2025 12:55:43.12,74
Aug 14 2025 12:55:43.965,72
Aug 14 2025 12:56:14.274,71
Aug 14 2025 12:56:15.231,72
Aug 14 2025 12:56:16.145,74
Aug 14 2025 12:56:17.184,74
Aug 14 2025 12:56:18.141,74
Aug 14 2025 12:56:19.55,76
Aug 14 2025 12:56:20.53,76
Aug 14 2025 12:56:21.92,78
Aug 14 2025 12:56:28.741,78
Aug 14 2025 12:56:29.697,78
Aug 14 2025 12:56:31.734,78
Aug 14 2025 12:59:4.951,86
Aug 14 2025 12:59:5.906,84
Aug 14 2025 12:59:6.861,82
Aug 14 2025 12:59:8.855,82
Aug 14 2025 12:59:56.203,88
Aug 14 2025 12:59:59.194,88
Aug 14 2025 13:00:51.353,85
Aug 14 2025 13:00:54.301,85
Aug 14 2025 13:00:57.291,85
Aug 14 2025 13:01:12.615,68
Aug 14 2025 13:01:13.653,67
Aug 14 2025 13:01:14.567,67
Aug 14 2025 13:01:15.605,64
Aug 14 2025 13:01:16.519,63
Aug 14 2025 13:01:27.233,60
Aug 14 2025 13:01:29.184,60
Aug 14 2025 13:01:31.136,59
Aug 14 2025 13:01:34.127,58
Aug 14 2025 13:01:36.78,58
Aug 14 2025 13:01:36.992,57
Aug 14 2025 13:01:37.947,57
Aug 14 2025 13:01:38.902,57
Aug 14 2025 13:01:39.940,57
Aug 14 2025 13:01:41.934,57
Aug 14 2025 13:01:43.927,57
Aug 14 2025 13:01:45.630,57
Aug 14 2025 13:01:46.585,57
Aug 14 2025 13:01:47.540,55
Aug 14 2025 13:01:48.495,55
Aug 14 2025 13:01:49.451,55
Aug 14 2025 13:01:51.361,54
Aug 14 2025 13:01:52.358,54
Aug 14 2025 13:01:53.355,54
Aug 14 2025 13:01:55.348,54
Aug 14 2025 13:01:57.342,54
Aug 14 2025 13:01:59.335,54
Aug 14 2025 13:02:0.374,54
